K/Si,SHAP value
0.0,-0.0005385855858291582
0.0,-0.0007066545221802708
0.0,-0.0006874023576123729
0.0,-0.0017949537464374051
0.0,-0.0029979284434963446
0.0,-0.0008530221448468356
0.0,-0.0007159505698345836
0.0,-0.0007815632035246718
0.0,-0.0006166050369701514
0.0,-0.000756485890587631
0.0,-0.0030769394558860883
0.0,-0.00044100956686771967
0.0,-0.0008182144564372527
0.0,-0.0020740645236659197
0.0,-0.0013656862437202689
0.0,-0.00047335023141084506
0.0,-0.0005651538347588991
0.0,-0.000707284619024047
0.0,-0.0007657110887296475
0.0,-0.000646230308810768
0.0,-0.0007037655025754042
0.0,-0.0007031679666203243
0.0,-0.0010954464385264796
0.0,-0.0007641353462692979
0.0,-0.0006286442222357274
0.0,-0.0006650781969988363
0.0,-0.0007736602454160928
0.0,-0.0005130636658843723
